AAL
AAP
ABBV
ABT
ACAD
ACIA
ADBE
ADSK
AGN
AKAM
ALGN
ALRM
ALXN
AMAT
AMBA
AMC
AMGN
AMT
ANET
ATVI
AVGO
AXP
AYX
BAC
BBY
BIIB
BILI
BMY
BOOM
BOX
BUD
C
CARG
CAT
CCL
CDNS
CGC
CHKP
CHWY
CI
CIEN
CL
CLX
CMCSA
COST
COUP
CPB
CRM
CRON
CRSP
CRWD
CSCO
CSX
CTXS
CVNA
CVS
CVX
CYBR
DAL
DBX
DE
DG
DIS
DKS
DLTR
DOCU
DPZ
DRI
EA
EBAY
EDU
ETSY
EXAS
FDX
FEYE
FFIV
FIVE
FOXA
FSLR
FTNT
GD
GE
GILD
GIS
GLW
GOOS
GPS
GRMN
GRUB
GWRE
HD
HLT
HOG
HON
HUBS
HUM
HUYA
IBM
ICPT
INTU
IQ
IRBT
JBHT
JBLU
JD
JNJ
JNPR
JPM
JWN
KBH
KLAC
KMB
KMX
KO
KR
KSU
LMT
LOW
LRCX
LULU
LUV
LVS
LYFT
MA
MAR
MCD
MCK
MDB
MDT
MET
MGM
MKC
MMM
MRNA
MS
MSI
MTCH
NDAQ
NKE
NOC
NOW
NTAP
NTES
NTNX
NUE
NXPI
OKTA
OLED
ORCL
OSTK
OXY
PANW
PAYC
PAYX
PEP
PETQ
PETS
PFE
PG
PCG
PINS
PLNT
PM
PTON
PYPL
PZZA
QCOM
RARE
RCL
REGN
RH
RIOT
RNG
ROST
SAGE
SAVE
SBUX
SEAS
SEDG
SFIX
SHAK
SHW
SIG
SIX
SKX
SMAR
SNBR
SNPS
SPCE
SPG
SPLK
SPOT
SRNE
SRPT
STM
STMP
XPO
SNAP
STX
STZ
SWK
SWKS
SYNA
T
TEAM
TGT
TLRY
TNDM
TOL
TSCO
TTD
TTWO
TXN
UA
UAA
UAL
ULTA
UNH
UPS
URI
V
VFC
VLO
VMW
VRTX
VZ
W
WBA
WDAY
WDC
WFC
WHR
WW
WYNN
X
XLNX
XOM
YETI
YELP
YUM
Z
ZS
ZTS
VEEV
WWE
TSM
UBER
WIX
ZM
WORK
TDOC
ZEN
DDOG
